Division,PA House,PA Senate,Phila City Council,US Congressional 113
101,184,1,1,1
102,184,1,1,1
103,184,1,1,1
104,184,1,1,1
105,184,1,1,1
106,184,1,1,1
107,184,1,1,1
108,184,1,1,1
109,184,1,1,1
110,184,1,1,1
111,184,1,1,1
112,184,1,1,1
113,184,1,1,1
114,184,1,1,1
115,184,1,1,1
116,184,1,1,1
117,184,1,1,1
118,184,1,1,1
119,184,1,1,1
120,184,1,1,1
121,184,1,1,1
201,175,1,1,1
202,182,1,1,1
203,182,1,1,1
204,182,1,1,1
205,182,1,1,1
206,182,1,1,1
207,182,1,1,1
208,182,1,1,1
209,182,1,2,1
210,182,1,1,1
211,182,1,1,1
212,182,1,1,1
213,182,1,1,1
214,182,1,1,1
215,175,1,1,1
216,175,1,1,1
217,182,1,1,1
218,182,1,1,1
219,182,1,2,1
220,182,1,2,1
221,182,1,2,1
222,182,1,2,1
223,182,1,1,1
224,182,1,1,1
225,175,1,1,1
226,175,1,1,1
227,175,1,1,1
301,191,8,3,1
302,191,8,3,1
303,191,8,3,1
304,191,8,3,1
305,191,8,3,1
306,191,8,3,1
307,191,8,3,1
308,191,8,3,1
309,191,8,3,1
310,191,8,3,1
311,191,8,3,1
312,191,8,3,1
313,191,8,3,1
314,191,8,3,1
315,191,8,3,1
316,191,8,3,1
317,191,8,3,1
318,191,8,3,1
319,191,8,3,1
320,191,8,3,1
321,191,8,3,1
322,191,8,3,1
401,190,7,4,2
402,192,7,4,2
403,192,7,4,2
404,192,7,4,2
405,192,7,4,2
406,192,7,4,2
407,190,7,4,2
408,190,7,4,2
409,192,7,4,2
410,192,7,4,2
411,192,7,4,2
412,190,7,4,2
413,190,7,4,2
414,192,7,4,2
415,192,7,4,2
416,192,7,4,2
417,192,7,4,2
418,192,7,4,2
419,190,7,4,2
420,190,7,4,2
421,192,7,4,2
501,175,1,1,1
502,175,1,1,1
503,175,1,1,1
504,175,1,1,1
505,175,1,1,1
506,182,1,1,1
507,182,1,1,1
508,182,1,1,1
509,182,1,1,1
510,175,1,1,1
511,182,1,1,1
512,175,1,1,1
513,175,1,1,1
514,182,1,1,1
515,181,1,5,1
516,175,1,1,1
517,175,1,5,1
518,175,1,1,1
519,175,1,1,1
520,181,1,5,1
521,175,1,1,1
522,182,1,1,1
523,181,1,5,1
524,175,1,1,1
525,175,1,1,1
526,175,1,1,1
527,175,1,1,1
528,182,1,1,1
529,182,1,1,1
601,190,7,3,2
602,190,7,3,2
603,190,7,3,2
604,190,7,3,2
605,190,7,3,2
606,190,7,3,2
607,190,7,3,2
608,190,7,3,2
609,190,7,3,2
610,190,7,3,2
611,190,7,3,2
